id,prediction
1089874,1
3019446,1
1945605,1
1430402,1
3354381,0
1390995,1
2201401,1
2453843,1
1756630,1
938878,0
2357153,1
2760337,1
3447768,1
173848,1
1756397,1
749900,1
501917,1
356718,1
1083541,1
1090263,1
666617,1
2299642,1
2878218,1
1758014,1
149718,0
3018662,1
2444603,1
356716,1
2535248,1
1811569,1
956105,1
1558644,1
659710,1
1268500,0
197693,1
2226418,0
2191765,1
2455974,1
816693,0
198581,1
69590,1
2226059,1
1012095,1
2320049,1
1908431,1
2594779,0
173717,0
2963161,0
2375809,1
3298856,1
3052031,1
546923,1
1853823,1
3417894,1
3026089,1
1618799,1
842299,1
2795276,1
2452146,0
1596213,1
420631,1
2597390,1
2152575,1
1704383,1
1587838,1
3099593,1
459714,1
2636620,1
172379,1
389027,1
1305621,0
276515,1
1617861,0
3063295,0
1398956,1
1401946,1
98645,1
3113657,1
2930352,1
2467229,1
1081112,0
1782395,1
1246493,1
41193,1
1433616,0
1614192,1
228991,1
459228,0
1392369,0
479412,1
1564390,1
1796642,0
3099578,1
1657996,1
2632867,1
1263127,0
246757,0
1552072,1
1669205,0
315656,1
1831381,0
864267,1
3119490,1
1378004,1
266876,1
1195775,0
1958143,1
1626524,1
1694560,1
1945483,1
2689148,1
633874,1
715991,0
2636303,1
361266,1
2929557,0
878767,1
1479611,0
44397,1
2359452,1
203291,1
2007119,1
2792884,1
629417,1
3364032,1
1676486,1
2313560,1
2375777,1
1363194,1
2815705,1
1691429,1
396175,1
2287353,1
2904808,0
3046537,1
146113,0
2020349,1
2196877,1
3422853,1
1761421,1
2609667,1
1596087,1
274229,0
774520,1
2968215,1
2532424,1
1821373,0
2384731,1
816341,1
855331,1
2425559,1
716894,1
3286477,0
1320606,1
1089463,1
3256383,1
715320,0
833153,1
2836872,1
1408377,1
3073750,1
1611763,1
3265736,1
1819056,1
278163,0
1510296,1
345963,1
820900,1
881153,1
2224082,1
1630597,1
2678860,1
2482005,1
1438073,0
1703392,1
2526928,1
2759792,0
191346,0
1789073,0
2216664,1
3300416,0
1479753,0
1183817,0
1730650,1
1462786,1
1921865,0
2276459,1
1926146,0
1793425,1
2195721,1
969671,0
746177,0
2011656,1
2384647,0
3447348,0
3334681,1
969380,0
1571035,1
607096,1
91457,1
1146450,1
2749203,1
423227,1
2702505,1
2813342,1
1116621,1
1050718,1
2924620,1
2622075,1
209615,1
2133905,1
232432,0
2670301,1
545926,0
399715,1
214786,1
731753,1
1705093,1
451540,1
3314564,1
804259,1
2195121,1
2939979,1
3014165,0
379579,1
481929,1
2787375,1
1980126,0
3299227,1
1669277,0
3125018,1
2025802,0
2357216,1
3190817,1
616279,1
1653584,1
2488322,1
1809432,1
1296641,0
460136,1
826466,1
763636,0
2876861,1
3372291,1
1687490,1
1369754,1
881734,1
1413741,0
3159653,1
3411418,1
1784474,1
684307,1
830829,1
3434409,0
770328,1
1134743,1
2173497,1
1090499,1
2228840,1
2132227,1
390511,1
2222267,1
3085916,1
1907709,1
1675037,1
121931,1
3168654,1
3052789,1
2536332,1
1707805,1
2980398,1
554867,1
1134101,1
2472857,1
2546948,0
1398658,1
3353902,1
2332632,1
3254081,1
1268485,1
2173289,1
496011,1
2724265,1
781404,1
2906103,1
509471,1
2550244,1
2562645,1
1729744,0
395559,0
1989164,0
612172,1
3287079,1
3351573,1
2818485,1
422580,1
1639902,1
1479563,0
3313504,1
2321397,1
172945,1
2472825,1
969586,0
1953291,1
2679022,1
510887,1
2484349,1
1501925,0
813244,1
2749311,1
3102010,1
1864807,1
2607409,1
2795949,1
636412,1
1163497,1
276404,0
666238,1
960861,1
2089677,1
2083437,1
342605,1
2030918,1
3267232,1
1694591,0
3304690,1
2553132,1
2155800,0
375576,0
2155884,0
1322386,1
2524292,1
3326118,0
1625195,1
1830745,1
1524868,0
851678,1
54823,1
392771,1
1987428,1
711871,1
1443641,1
2221841,1
2830817,1
134455,1
2060262,1
3185726,0
2378827,1
2893299,1
2080922,1
3251501,1
2636300,1
226395,0
488404,1
1617617,1
490221,1
408572,0
1549628,0
2458335,1
1123369,0
1702735,1
1394508,1
2493378,1
645180,1
1140025,1
1953409,0
869241,0
633875,1
3190211,1
1643243,1
3058482,1
3384269,1
713992,1
2425362,1
1201425,1
222535,1
1039162,1
3436639,1
1124284,0
1479538,0
2858180,0
1044270,0
1151084,1
2885844,1
3014157,1
787889,1
512322,1
867716,1
618359,1
126662,1
1908352,1
1785196,0
2173826,0
2375776,1
269089,1
2537987,1
2980690,1
1027143,1
130265,1
261718,1
2776609,1
261957,1
925534,1
1478533,1
725698,1
2484347,1
1607342,1
243700,1
1240372,1
1983012,0
1088209,0
1703443,0
941626,1
3085927,1
2746528,1
1140029,1
1787122,1
3450953,1
2902707,0
1813375,1
2971556,1
3119302,1
981815,1
1496052,1
572164,1
2713980,0
959616,0
1912529,1
633744,0
3313165,1
2122040,0
3385867,1
1657140,1
318215,1
2473394,0
1258288,1
742244,1
3085148,1
432116,1
539350,0
2160920,1
2442948,1
1518074,1
1284177,1
1591389,1
600786,1
1245561,1
2734483,1
3289732,1
3306149,1
1318034,1
3354775,1
1111786,0
806505,0
1479862,1
2071990,0
1970415,1
2928566,1
1239932,0
1092090,1
1240213,1
2720187,1
3259695,0
1657875,1
1563816,0
99378,0
692176,1
654702,1
2725718,1
240075,1
427005,0
2124302,1
229259,1
1171535,1
1201093,1
545928,1
3128200,1
1554315,1
1196117,1
842171,1
246576,1
1629901,1
2588886,0
769049,1
1924883,0
1550877,1
1977046,1
644153,1
173736,1
209859,1
2158247,1
1459781,1
2905479,1
3447773,1
2527795,1
1348907,1
703823,1
1075005,1
1948542,0
1849873,1
986840,1
3230905,1
2906716,1
2768372,1
2891359,1
131134,1
1051279,1
212622,1
629297,1
3377001,1
1720973,1
2989427,1
1496938,1
388576,1
562108,1
1223198,1
2208440,1
3021619,1
36547,1
345699,1
1010013,1
2493925,1
1661881,1
1879236,1
2467992,1
3014177,1
467296,1
1567595,1
1243432,1
2370245,1
3331545,1
1929176,1
599678,1
745950,1
1737548,1
2095818,1
2484044,1
1604217,0
3438458,1
1439347,1
399170,1
1958452,1
2178827,0
1280917,1
3001423,1
1146295,1
2414342,0
173779,0
1114165,0
2337960,1
237239,1
663480,1
460144,1
1809293,1
859489,0
3131671,1
210694,1
347483,1
2827192,1
2486728,1
684938,1
826609,0
1279867,1
1091178,0
1293239,1
2085113,1
1739449,1
2559956,1
349935,1
911563,1
2123347,0
2108887,1
1967671,1
1044800,1
1716178,1
2009590,1
573366,1
1618261,1
500945,1
437728,1
1074997,1
2641995,1
544329,1
1702219,1
3319119,1
1260943,1
936700,1
2788889,1
1596214,1
2553134,1
1075397,1
3100597,1
1054536,1
1458234,0
2098594,1
53672,1
2673112,1
1091232,1
1107385,1
3414486,1
1559172,0
2214085,1
327365,1
863191,1
3068989,1
2202632,1
3046212,1
1559085,1
1805630,0
246694,1
1485635,1
1342925,1
2692086,1
283697,1
2521741,1
69795,1
2706235,1
267366,1
1605338,1
3042078,1
2179041,1
1120715,1
516813,1
633901,0
2152533,1
2560904,1
2011657,1
556825,1
2798926,1
2493883,1
2763716,1
1516698,1
2249306,1
572627,0
427417,0
660856,1
1884056,0
2362684,0
3233010,1
243948,1
758196,1
303962,1
2691686,1
1924385,1
638873,1
1338202,1
782729,1
1655566,1
1117439,1
1580610,1
75618,1
2367272,1
42183,0
784495,1
1500312,1
1890014,1
1318419,1
2257896,1
1907420,1
748620,1
1268446,1
2405094,1
2716543,1
3056744,1
2404779,1
1785254,0
2228916,1
529554,1
953777,0
401945,0
62786,1
1457976,1
1287681,0
1856960,1
2877244,1
1729704,0
2202636,1
2902077,1
1104700,1
2002876,1
1433591,1
2946635,1
759485,1
3270328,1
3415995,0
2889933,1
1921451,1
3004566,0
1922104,1
2155055,1
2475829,1
2874753,1
1072119,1
2455734,1
2068468,1
549254,0
2421566,0
938119,1
1977693,0
1748344,1
1474151,0
113468,1
655501,1
1917198,1
2067814,1
1047951,0
1443670,1
1297328,1
1277464,1
1288358,1
1886,0
3257025,0
1283865,1
100420,1
299978,1
547116,1
784087,1
1152817,1
518923,1
134211,0
1274113,1
3207359,1
2172962,0
367259,1
3010054,1
27662,1
2625130,1
921297,1
258305,1
3335828,0
84730,1
941673,1
356813,1
1479864,0
684556,1
1733146,1
2984179,0
2019201,1
2733800,1
1101775,0
229245,0
2995466,1
2228735,1
1260001,0
1756545,1
2390771,1
671146,1
3207968,1
2237209,1
3372342,0
1569217,0
3159669,1
2467171,1
3121942,1
1803903,1
271886,1
801575,1
2964174,0
1822303,1
2029881,1
2264152,1
3261182,0
818465,1
378293,1
629307,0
3082461,1
387804,1
1269483,1
3326097,0
68094,0
3434277,1
2594744,0
3386410,1
1904049,1
1697702,1
2878348,1
1353348,1
2689642,1
1096757,0
1138564,1
780192,1
2250098,1
2170844,1
2757181,1
512419,1
3385872,1
2562801,1
3037512,1
385625,1
1830919,1
867760,1
3214302,1
2961878,1
3048783,1
2565307,1
1720114,0
2419549,0
1018728,1
1836337,1
2112937,1
1079378,1
1513800,1
3225824,1
2254228,1
191501,0
1467951,1
1476228,1
2205262,1
550075,1
612895,1
673481,1
788914,1
555526,0
267,1
3355582,0
939906,1
689960,1
124308,1
2874558,0
3285256,1
246508,1
490035,1
872655,1
2505004,1
279643,1
2208492,1
2252343,0
1799420,0
896421,0
2410405,1
161728,1
2112310,1
498380,1
921754,0
1418704,1
1924472,0
1125872,1
1396925,1
1171278,1
1559205,0
2562633,0
2453621,1
221459,1
2500731,1
3092820,1
835284,0
2652307,1
1769142,1
3116919,1
3120430,1
612902,1
3044479,1
3085418,1
935356,1
191147,1
969268,0
2293452,1
1469634,1
218865,1
3264487,1
433401,0
3215697,1
862166,1
1334494,1
1605217,1
129775,1
683098,1
2841042,1
969653,1
2007775,1
2760412,0
221084,1
264040,0
2672787,1
283605,1
58974,1
130088,1
508365,0
1219326,1
1462783,1
3256831,1
2380347,1
1995575,1
3225453,1
1947223,1
1757283,1
1808889,1
1934804,1
261658,1
1917209,1
356719,1
1097469,1
1383727,1
134822,1
1756866,1
2410088,0
2226071,0
686191,1
1506823,1
610530,1
276517,1
3365018,1
1693258,1
3417159,1
1312090,1
2548947,1
885713,0
2501070,1
596187,1
758885,1
1037070,1
3003058,1
1200551,1
699859,0
2388841,1
2518638,1
571573,1
1045708,1
2548466,0
356819,1
690579,1
3285323,1
893926,1
2345492,1
986604,1
1055255,1
919802,1
1629440,1
13714,0
81231,1
1550449,1
490013,0
490006,0
3099585,1
1588250,0
238217,1
2630841,0
2046155,1
1390382,1
332716,1
240349,1
1462692,1
1536272,1
177077,1
1042503,1
3098063,1
428383,1
2653985,1
1629891,1
1157432,1
1012647,1
1464799,1
2333026,1
1465159,1
2762932,1
1686095,0
1559232,1
798702,1
495194,1
1144182,1
615871,1
1669281,1
2250251,1
1782592,1
3286327,0
1837885,1
2833658,1
2942579,1
1868647,1
1353352,1
3273136,1
1669253,1
2742787,1
3289371,1
2565078,1
1488446,1
1716177,1
1334303,1
2338162,1
2186854,1
368271,1
2141812,0
747199,0
2746767,1
1615615,0
411079,1
1013865,1
2464935,1
649943,1
496246,0
3428489,1
2654547,1
257477,1
3145536,1
1454756,1
3153528,1
2477153,1
1112041,1
811019,1
629292,1
2439549,0
3454292,1
1048282,1
3389014,1
1685023,1
710770,1
1896884,1
1007185,1
2221840,1
1787828,0
1381716,1
1840021,0
1147505,1
543533,1
2776610,1
163731,1
2090432,1
1957071,1
347461,1
2637189,1
1967667,1
774657,1
1117174,0
1725788,1
2475398,1
1787709,1
2529576,0
758288,1
3398909,0
121939,1
1401862,1
3333475,1
646343,1
3103374,1
3422952,1
224125,0
1225768,1
786949,1
2515727,1
2274833,1
1639471,1
2481631,1
3085781,1
1087225,0
2254011,1
3035919,1
1680943,1
2620044,1
922819,1
3283140,1
3150044,1
3319098,0
3059628,1
1463005,1
3185728,0
1686168,1
4142,1
1035681,1
739972,1
2381709,0
953749,1
1967579,1
889609,1
1079804,1
2794042,1
1806953,1
1967657,1
438985,1
2527854,1
3317425,1
843200,1
2453492,1
2248645,1
515763,1
1322404,1
2057710,1
2467983,1
374820,1
1953302,1
1465145,1
258848,1
869211,1
1881958,1
53570,1
3102255,1
1787626,1
2986651,1
1447877,1
