id,prediction
1089874,1
3019446,0
1945605,1
1430402,1
3354381,1
1390995,1
2201401,0
2453843,0
1756630,1
938878,1
2357153,1
2760337,1
3447768,1
173848,0
1756397,1
749900,1
501917,1
356718,1
1083541,1
1090263,0
666617,0
2299642,0
2878218,1
1758014,0
149718,0
3018662,0
2444603,1
356716,1
2535248,1
1811569,1
956105,0
1558644,1
659710,0
1268500,0
197693,1
2226418,1
2191765,1
2455974,1
816693,0
198581,0
69590,0
2226059,1
1012095,0
2320049,1
1908431,0
2594779,0
173717,1
2963161,0
2375809,1
3298856,0
3052031,1
546923,1
1853823,1
3417894,0
3026089,0
1618799,0
842299,0
2795276,1
2452146,1
1596213,1
420631,0
2597390,1
2152575,0
1704383,1
1587838,1
3099593,1
459714,0
2636620,0
172379,1
389027,1
1305621,0
276515,1
1617861,1
3063295,1
1398956,0
1401946,0
98645,1
3113657,0
2930352,1
2467229,1
1081112,0
1782395,1
1246493,1
41193,0
1433616,0
1614192,0
228991,1
459228,0
1392369,0
479412,1
1564390,0
1796642,1
3099578,0
1657996,0
2632867,0
1263127,1
246757,0
1552072,0
1669205,0
315656,1
1831381,1
864267,1
3119490,1
1378004,1
266876,0
1195775,1
1958143,0
1626524,0
1694560,0
1945483,1
2689148,1
633874,0
715991,0
2636303,1
361266,0
2929557,0
878767,0
1479611,0
44397,1
2359452,1
203291,1
2007119,0
2792884,1
629417,1
3364032,0
1676486,1
2313560,0
2375777,0
1363194,0
2815705,1
1691429,1
396175,1
2287353,1
2904808,0
3046537,0
146113,1
2020349,0
2196877,0
3422853,0
1761421,1
2609667,1
1596087,1
274229,0
774520,1
2968215,0
2532424,0
1821373,0
2384731,1
816341,0
855331,0
2425559,1
716894,1
3286477,1
1320606,0
1089463,1
3256383,0
715320,0
833153,0
2836872,0
1408377,1
3073750,0
1611763,1
3265736,1
1819056,1
278163,1
1510296,1
345963,0
820900,1
881153,0
2224082,1
1630597,1
2678860,1
2482005,1
1438073,0
1703392,1
2526928,0
2759792,1
191346,0
1789073,1
2216664,0
3300416,1
1479753,0
1183817,1
1730650,1
1462786,1
1921865,0
2276459,1
1926146,1
1793425,1
2195721,1
969671,1
746177,0
2011656,1
2384647,1
3447348,1
3334681,0
969380,0
1571035,1
607096,0
91457,1
1146450,1
2749203,0
423227,0
2702505,1
2813342,1
1116621,1
1050718,1
2924620,0
2622075,1
209615,0
2133905,0
232432,1
2670301,0
545926,1
399715,0
214786,1
731753,0
1705093,1
451540,0
3314564,1
804259,1
2195121,1
2939979,1
3014165,0
379579,0
481929,1
2787375,0
1980126,1
3299227,1
1669277,0
