id,prediction
253187,0
347915,1
287426,0
319444,0
153033,0
195674,1
143854,1
268954,0
376123,0
276051,0
339021,1
58867,1
21287,0
289190,1
196829,0
401452,1
385425,0
270862,0
227610,1
242264,0
372706,0
303944,0
338887,0
401908,0
130581,1
252606,1
134406,1
236477,0
402194,0
129649,0
195695,0
92432,1
394276,1
283011,0
29271,1
162931,1
190003,0
36518,0
95196,0
389615,0
349445,1
312783,0
304438,0
208140,0
332040,0
20560,1
178215,1
19487,1
98651,0
231209,1
55818,0
49551,1
244345,0
170764,0
39055,1
288148,1
318651,0
335625,0
4039,0
361168,0
33991,1
370435,0
62603,0
35824,1
282712,1
25571,1
382562,0
276810,1
122043,0
306610,1
13196,0
255696,1
314507,0
210075,0
344624,1
198820,0
259229,1
39879,0
127410,0
177747,1
48786,0
103045,1
263557,0
141392,0
236171,0
11840,0
149716,0
38357,1
39447,0
203210,1
313965,0
342442,0
346365,0
252322,1
109431,1
323842,0
346600,0
332323,0
317690,1
298998,0
174411,1
149039,0
228338,0
74319,0
235145,0
245255,0
385735,0
337735,0
179248,1
120976,0
30757,0
285468,0
88895,1
331705,0
111760,1
291632,0
274,1
197316,0
27514,0
106761,0
307882,1
220189,0
262221,0
339780,0
340863,1
165432,0
394298,1
364616,0
352156,0
194048,0
249107,1
184734,0
208754,0
138069,0
272498,0
112403,1
195021,0
135608,1
330891,0
136261,1
259224,0
204965,0
103930,1
25311,0
308602,0
116859,1
356418,0
57133,0
222454,0
72599,1
328920,1
53628,0
326754,0
7033,0
318640,0
50309,0
219925,0
40293,0
380197,0
306060,0
378753,1
268299,1
63714,0
277208,1
290770,0
128332,0
147716,0
68315,0
20398,0
267901,1
148256,0
129509,1
270981,1
383279,0
382636,1
163712,1
86170,0
280619,1
309821,1
352815,0
205196,0
249213,0
185241,1
280758,1
99239,0
58184,0
17449,0
261056,0
339729,0
10705,0
153471,1
393725,0
153525,0
163580,0
297067,1
224248,0
317021,0
345060,1
251935,0
188878,1
119190,0
84974,0
118656,0
255976,0
372626,0
242583,0
260827,0
359239,1
135432,0
47481,1
368827,1
134713,1
188870,0
278039,1
370206,1
154413,1
308501,0
76557,0
224,1
367758,0
311360,0
278213,1
47163,1
391218,0
274178,0
37691,1
314364,1
145209,0
220873,1
229475,0
62935,0
251509,1
311518,0
83615,1
292124,0
125034,0
178735,1
125229,0
151092,0
240965,0
85613,1
143219,0
316742,0
128469,0
388664,1
197924,0
62969,1
345619,0
104160,1
103777,0
48195,1
279526,0
82259,1
283723,1
252262,0
132259,1
262188,0
122066,0
16107,1
277709,0
199787,1
201996,0
30867,1
225438,1
29666,0
390624,0
259738,1
142439,1
138848,0
227009,0
245609,1
266404,0
312338,0
334626,0
24569,1
59847,0
221605,1
16577,0
18194,1
389057,1
176909,0
290039,0
173433,0
287959,0
163363,0
107675,1
115121,0
218673,1
42416,0
143084,0
373264,1
40013,1
258353,1
221360,1
192274,1
9536,0
359661,0
131042,0
217772,1
23904,1
330039,1
278476,1
27463,0
365943,1
191469,0
145940,0
57769,1
370140,0
31372,0
246670,1
6589,1
318824,1
263005,0
144997,0
59218,0
235215,0
304148,1
60044,0
14017,0
217198,0
341570,0
264509,0
154483,1
114515,0
178830,0
67223,1
289671,0
221321,0
302641,1
18937,0
95558,1
78181,1
361276,0
304704,0
342537,1
115958,1
194775,0
43740,0
38356,0
291572,0
137324,0
61334,1
197953,0
220300,0
398768,0
345219,0
160763,0
94770,1
212599,1
237311,0
31420,0
393041,0
110495,1
300546,0
20647,0
47627,0
394153,1
304802,0
180607,0
231952,0
396187,0
44610,1
367842,0
83240,0
323832,1
208702,1
257648,0
22895,0
227412,0
320007,0
360773,0
173423,1
384470,0
265565,0
23128,1
391766,1
272166,0
166280,1
180431,0
228534,0
300704,0
232378,0
47303,0
32454,0
318417,1
126604,1
322948,1
188799,0
357216,0
131482,0
323294,0
246845,0
78099,1
140569,0
222834,1
358267,0
374070,0
242221,0
386893,1
197479,0
142591,0
94000,0
330300,0
353263,0
11728,0
189354,0
7615,0
311546,1
242289,0
168767,0
174868,1
93029,0
11896,1
338649,0
356512,0
172704,1
46121,1
49134,0
55670,0
19929,0
316336,1
276386,0
252130,0
25161,1
345712,0
392593,1
233403,0
202470,0
81623,1
207290,1
352482,0
247641,0
189917,0
223844,0
391390,0
37851,1
289530,0
231993,0
69526,0
343172,1
168904,1
109019,1
129310,0
211356,0
209815,1
183556,0
32680,1
65336,0
31078,0
270188,0
29807,1
49878,1
47030,0
274804,0
314422,0
105877,1
219399,0
267801,0
334358,1
244876,1
252291,0
61081,0
165746,0
364099,1
360979,0
134072,0
177144,1
331938,0
46781,0
65706,1
265825,0
91215,0
210197,1
179066,0
174440,1
102734,0
114110,0
51927,1
15245,0
219745,0
168271,0
250527,0
200788,0
170388,0
35190,0
382679,0
283370,1
222740,1
79393,1
123907,0
101827,0
52662,0
334995,0
365482,0
159566,0
160542,0
388813,0
271996,1
167747,0
93626,0
140768,1
241922,0
197851,0
314038,1
258460,0
309778,0
270630,1
392544,1
3994,0
278544,0
132442,0
135630,0
228834,1
109454,0
281632,1
6966,0
100957,0
117736,0
122186,1
68731,1
361437,0
335662,1
340941,1
22487,0
342118,0
224587,0
333596,0
329796,0
288036,0
271148,0
93467,0
354000,0
97432,0
230555,0
360576,0
91250,0
356144,0
175944,0
239804,0
33437,0
150482,0
203915,0
61904,0
102869,1
142414,0
156781,0
275345,0
89346,0
156020,0
308333,1
355627,0
148401,0
31739,0
66722,0
165886,0
189579,0
25872,0
238794,0
147074,0
96030,0
172805,0
