id,prediction
1089874,1
3019446,0
1945605,1
1430402,0
3354381,0
1390995,1
2201401,0
2453843,0
1756630,0
938878,0
2357153,0
2760337,0
3447768,1
173848,0
1756397,1
749900,0
501917,1
356718,1
1083541,1
1090263,1
666617,0
2299642,1
2878218,0
1758014,1
149718,0
3018662,1
2444603,0
356716,1
2535248,1
1811569,0
956105,0
1558644,1
659710,1
1268500,0
197693,1
2226418,1
2191765,1
2455974,1
816693,0
198581,0
69590,1
2226059,0
1012095,0
2320049,1
1908431,0
2594779,0
173717,1
2963161,0
2375809,1
3298856,0
3052031,0
546923,1
1853823,1
3417894,0
3026089,0
1618799,1
842299,0
2795276,1
2452146,0
1596213,1
420631,1
2597390,1
2152575,0
1704383,1
1587838,1
3099593,1
459714,0
2636620,1
172379,1
389027,1
1305621,0
276515,1
1617861,0
3063295,0
1398956,1
1401946,0
98645,1
3113657,0
2930352,0
2467229,1
1081112,0
1782395,1
1246493,1
41193,0
1433616,0
1614192,0
228991,0
459228,0
1392369,0
479412,1
1564390,0
1796642,0
3099578,0
1657996,0
2632867,1
1263127,0
246757,0
1552072,1
1669205,0
315656,1
1831381,0
864267,0
3119490,0
1378004,0
266876,1
1195775,0
1958143,0
1626524,1
1694560,0
1945483,0
2689148,1
633874,0
715991,0
2636303,1
361266,1
2929557,0
878767,0
1479611,0
44397,1
2359452,1
203291,0
2007119,1
2792884,0
629417,0
3364032,1
1676486,0
2313560,1
2375777,1
1363194,0
2815705,0
1691429,0
396175,1
2287353,1
2904808,0
3046537,1
146113,0
2020349,0
2196877,0
3422853,0
1761421,1
2609667,0
1596087,1
274229,0
774520,0
2968215,1
2532424,1
1821373,0
2384731,0
816341,1
855331,1
2425559,0
716894,0
3286477,0
1320606,0
1089463,1
3256383,1
715320,1
833153,1
2836872,0
1408377,0
3073750,0
1611763,1
3265736,1
1819056,0
278163,1
1510296,0
345963,1
820900,1
881153,1
2224082,1
1630597,1
2678860,0
2482005,0
1438073,0
1703392,1
2526928,0
2759792,1
191346,0
1789073,0
2216664,0
3300416,0
1479753,0
1183817,0
1730650,0
1462786,0
1921865,0
2276459,0
1926146,1
1793425,0
2195721,1
969671,0
746177,0
2011656,1
2384647,1
3447348,0
3334681,0
969380,0
1571035,1
607096,1
91457,0
1146450,0
2749203,1
423227,1
2702505,1
2813342,0
1116621,0
1050718,0
2924620,0
2622075,0
209615,1
2133905,0
232432,1
2670301,0
545926,0
399715,1
214786,1
731753,1
1705093,1
451540,0
3314564,1
804259,0
2195121,0
2939979,1
3014165,1
379579,1
481929,1
2787375,0
1980126,0
3299227,1
1669277,0
