id,prediction
253784,0
347938,0
264680,0
225808,0
272562,0
388142,1
225499,1
148857,0
26360,0
310868,0
227356,0
248051,0
287338,0
201134,1
403642,0
70815,0
323060,1
291641,0
9452,1
112760,0
240978,0
327825,0
160039,0
30067,0
172007,0
309517,0
195497,0
10220,1
301256,1
222142,1
155389,0
83398,0
292031,0
299923,0
366130,0
77968,0
126244,0
291120,0
185626,1
313762,1
55371,0
205678,0
242057,0
339440,0
319583,0
362201,1
353022,0
105984,0
129873,0
213894,0
252778,0
284226,0
173261,0
251204,0
363882,0
343646,1
342698,0
279028,0
170527,0
400265,0
12740,0
342744,0
102842,1
233779,1
278332,0
355795,1
277441,0
178770,0
179883,0
264431,0
389030,0
345874,0
265100,0
84625,0
194990,1
155260,0
102475,0
319489,0
208287,0
169704,1
360234,1
249661,1
308857,0
256650,1
179827,0
44928,1
5489,0
318163,0
107586,0
177319,1
195167,0
126156,1
211341,0
14828,1
174859,1
328061,0
176606,0
126068,1
178513,1
249925,0
125085,0
393880,0
157384,0
123207,1
293216,0
44820,0
264305,0
13255,0
271808,1
182221,0
267290,0
108310,0
349574,0
382912,1
209597,1
219431,1
199310,0
48494,1
347675,1
157189,0
187949,0
166818,0
102451,0
115563,0
204939,1
316294,0
300749,1
25173,1
29809,1
91652,1
49989,1
285780,1
375336,1
123526,1
238977,0
105155,0
265545,0
68938,0
347774,1
211179,0
193650,1
164386,0
165592,0
9002,1
12449,0
61177,1
100688,0
109690,1
191565,0
94807,1
161106,0
204147,0
6759,0
356105,1
376945,1
190089,1
259621,1
292039,0
237583,0
179991,0
353578,0
391131,1
347789,0
196998,0
110711,0
60463,0
119296,0
159731,0
902,0
38165,0
168665,1
393131,0
155413,1
123283,0
60294,1
11385,1
31050,1
136412,1
10894,0
276842,0
187877,1
190336,0
249862,1
390077,0
273006,0
305366,1
163043,1
164837,0
80845,0
314920,0
80770,0
347533,1
210402,1
65016,1
240979,0
188348,1
171585,1
60327,1
59686,0
119257,1
337956,0
170600,0
281085,1
388089,0
191298,0
392475,0
392105,1
323619,0
387415,1
403960,1
67010,0
303722,0
296882,0
396423,1
151841,0
63548,1
194215,1
208718,0
261937,0
62136,1
87765,1
98899,0
104189,0
382169,0
281718,0
12137,0
88953,1
275265,0
195619,1
84312,0
153414,0
144827,0
206799,0
359119,0
258646,0
189126,1
149583,1
395670,0
373297,1
108592,1
326222,0
257474,0
78787,1
9068,0
57979,0
311832,1
1044,0
179259,0
275149,1
90648,0
207735,0
282435,0
186931,0
129943,0
248126,0
114685,1
326861,0
337672,1
250205,1
258560,1
27311,0
53692,1
276809,1
309563,0
302551,0
32173,0
141571,1
309271,1
11064,0
277163,0
326615,0
248299,0
264766,0
368928,0
190365,0
67824,0
155414,0
325554,0
144934,0
209695,0
327234,0
133646,0
43627,1
152403,1
288940,0
195775,0
332810,1
32101,1
77740,1
13004,0
58793,0
399426,0
145862,0
27020,0
309344,0
374368,0
224267,0
133648,1
225664,1
321887,0
84991,0
286045,0
315044,0
302417,0
369397,0
261592,0
345290,1
397966,0
152823,1
196830,0
239930,0
261025,0
85443,0
161809,0
402137,0
211110,0
392934,0
156102,0
136756,0
267285,0
229943,1
286380,0
73997,1
55036,0
262234,0
248735,0
136299,1
245847,0
106642,0
225829,0
352995,1
389143,0
295613,1
79618,0
225561,0
244419,1
287733,0
352092,1
364288,0
240259,0
364351,0
351870,1
330992,0
300305,0
345475,1
46521,0
14437,0
195102,0
264035,0
294319,0
369023,0
259661,1
65196,0
317662,1
241483,0
16368,1
300111,0
49887,1
143497,0
348426,0
77539,1
3390,0
24670,0
16190,0
208704,0
349517,0
164126,1
260608,1
27180,0
44933,0
60047,1
336179,0
356728,1
354445,1
108379,0
146253,0
282303,0
275223,1
97915,1
53013,1
11180,1
98269,1
389161,1
185651,1
83585,0
9336,0
401167,0
55945,1
369309,0
94093,1
4373,0
278692,1
8594,1
140382,0
366558,0
292019,1
270446,0
198127,0
63765,1
45283,1
148137,1
313797,0
371374,0
137218,0
89341,1
152384,0
93793,1
7496,0
184543,1
143423,0
342293,1
387354,0
377753,0
109042,0
112075,1
124870,0
371713,0
73684,0
117911,1
7453,0
392288,0
185226,0
567,0
65486,0
12460,0
31953,1
228236,0
324645,0
274184,1
74806,0
261437,0
29061,1
19565,1
90539,0
153749,0
167742,0
47166,0
171307,1
279009,0
371264,1
168571,1
230906,0
200990,0
178246,1
76805,0
175062,0
107504,0
365705,0
127214,0
139592,1
5681,0
110536,0
294156,0
114142,1
55822,0
267148,0
402527,1
336237,1
168840,1
82115,1
86545,1
127584,1
65627,1
132966,0
184604,1
364671,1
336239,1
319067,0
271033,0
197277,1
124448,0
26244,0
46069,0
197890,1
78767,0
90141,0
213448,0
20415,1
386526,0
396886,0
33207,1
249857,0
27060,1
90587,1
118955,0
262934,0
266918,0
363026,0
168524,1
162239,1
160931,0
199092,1
309510,0
385686,0
24893,0
116598,0
12487,0
323660,1
142737,0
88981,0
324841,1
268688,0
86604,0
93174,1
390803,0
13456,0
163167,0
43397,1
304149,0
195458,0
242548,1
394393,0
316901,0
156079,1
239391,0
195017,0
217976,1
271525,0
214566,0
41151,0
373783,0
321184,0
252116,1
214578,1
251772,0
137793,1
79596,1
290897,0
157410,0
182333,1
55813,1
355380,1
309021,0
378848,1
176180,0
170413,0
243812,0
393937,1
143368,1
55219,0
360287,0
297641,0
75845,0
238635,1
148508,0
314582,1
202310,0
297435,0
110320,1
146373,1
12815,0
101128,0
252852,0
64724,1
377892,1
239650,0
9057,0
137140,0
12041,1
320965,1
380368,1
89823,1
272090,1
235508,1
225280,0
70728,0
73606,0
142954,1
339713,1
31541,0
9056,1
275475,0
309454,0
332735,1
185710,1
42594,0
375752,1
100373,0
403586,1
36179,1
352271,0
231921,1
8822,1
314642,0
117546,1
358611,1
79910,1
389145,1
180034,1
259312,0
169504,0
263055,1
4496,0
18916,0
278543,0
243478,0
236144,0
393817,1
224261,0
396891,0
214600,0
243003,0
53466,0
310181,1
138003,0
178585,0
156120,0
236561,0
256752,0
310377,1
133375,0
214275,1
280509,1
136966,0
25405,1
377765,0
212090,0
193492,0
123412,0
263451,1
229995,0
152958,1
183628,0
251843,0
162555,0
355449,0
206600,1
170105,1
311016,0
204634,0
113100,1
111913,1
141868,1
53423,0
209885,1
94417,0
91740,1
296770,0
287457,1
239251,1
177014,0
8617,0
40526,0
380941,1
70742,1
80176,0
402707,0
49394,0
271750,0
390791,0
111438,0
155238,0
224266,0
339695,1
116646,0
113970,1
14101,1
198693,0
198105,0
334604,1
319149,0
109295,1
66333,1
344946,0
251817,0
234859,0
203308,0
150162,1
56980,1
225568,0
22230,0
89761,0
59596,1
40724,0
97132,0
339485,0
212205,0
