id,prediction
286723,0
241109,1
172076,1
370373,0
65298,0
298041,0
135213,1
273240,0
225334,1
291781,0
89534,1
386909,0
360276,1
295837,0
11705,0
276548,1
51241,0
208164,0
160735,0
123538,0
383233,0
290861,1
19482,0
243118,0
50102,0
137532,0
237684,1
167792,1
166983,0
19087,1
393268,0
67851,0
1385,0
302375,1
27398,1
69422,0
257047,0
391753,0
246486,1
373214,1
258702,1
372117,0
343372,0
278872,1
347944,0
70648,0
386927,0
10956,0
228506,0
193718,0
272999,1
182622,0
66613,0
73667,0
262298,1
167647,0
347654,0
335845,0
317117,0
329855,0
149367,0
131359,0
187807,0
365687,0
129812,0
43964,0
307034,1
50124,0
67703,1
367634,1
159869,0
264844,1
375154,1
357052,0
151699,1
9443,1
343681,0
145202,0
33134,1
337390,1
400939,1
371646,0
253468,1
186577,0
5037,1
183941,0
181677,1
87154,0
34692,0
46766,0
354149,1
165856,0
332494,0
376269,0
50362,0
58040,0
38270,0
119707,1
135889,0
247151,0
81386,0
193488,1
71074,0
134722,0
202379,1
116723,1
360937,1
187039,1
380014,0
170189,0
57017,0
242174,0
197008,0
705,1
104049,0
313394,1
116983,0
33659,1
355058,0
95462,0
297137,1
311661,0
92862,0
45681,0
342133,0
354174,1
170547,0
36206,0
46904,1
76484,0
35905,1
294316,0
302296,1
130518,0
161515,0
128235,0
346548,1
341915,0
210237,0
285085,0
349262,1
59133,0
30871,1
272248,0
248679,0
75156,1
149554,1
332588,0
309867,1
97612,0
375217,0
27866,1
395551,0
215700,0
188220,1
268856,0
337829,0
111660,1
229484,0
66149,0
92330,0
211679,1
387218,1
87022,1
348819,0
349188,0
292895,1
81055,0
94051,1
107595,0
114726,1
181943,0
380907,1
157136,0
86683,1
100318,0
303505,0
214665,0
357644,0
152700,1
276337,1
594,0
195074,0
374066,0
245064,0
360867,1
318035,0
375884,0
292680,0
179389,0
287884,0
83518,0
360461,0
209211,0
89871,0
281464,0
328113,1
54900,0
258264,0
144481,0
52247,0
137335,1
125087,0
103386,0
167979,0
147864,0
389901,1
73300,0
211834,0
268773,0
16313,0
197518,0
374909,0
102590,1
136819,0
339329,0
367378,0
284912,1
40837,0
279169,0
324814,1
375762,0
202006,0
54403,1
117527,1
262771,0
20155,0
335915,1
219078,1
332023,0
232067,0
231491,1
121171,1
311350,0
362297,0
353767,0
149542,0
297416,0
321231,0
196311,0
349338,0
327918,0
378649,0
182173,0
28811,0
126357,0
67868,0
65443,0
200747,1
285769,0
199955,1
100162,1
58260,0
195621,0
58476,0
183737,1
229616,0
199767,0
189411,0
166180,1
135159,0
193280,0
292721,0
192551,0
165712,1
10125,0
53710,1
269481,1
78656,0
217108,0
253076,1
211934,1
214667,0
76979,0
156110,0
245639,0
370326,0
144573,1
129207,1
264068,0
8853,0
398165,1
307504,0
366945,1
145875,0
50449,0
33007,0
222621,0
117155,0
65495,1
62245,0
3466,0
244270,1
232766,0
93143,0
337993,0
13543,1
90778,0
96217,1
127431,0
16211,0
38105,0
62842,1
7914,0
94557,0
311856,0
24512,0
116682,0
328796,1
128112,0
177135,0
111663,0
376484,0
304898,0
101644,1
8583,0
157349,0
199140,0
231895,0
319012,0
157051,0
100361,0
60366,0
54931,0
153135,1
1886,0
328577,1
196115,0
65309,0
199418,0
336963,1
213295,0
94233,0
39830,0
20232,1
54225,0
179555,0
270634,1
359916,1
346718,0
292976,0
64899,0
277454,0
244782,0
278617,0
326425,0
233989,1
107914,0
352481,0
235476,0
166032,0
62008,1
317636,0
113415,1
380243,0
211225,0
58289,0
306609,0
272833,1
149589,1
95419,0
253140,0
154561,0
5838,0
212219,0
186603,0
16049,0
126553,0
176144,1
241359,1
156760,0
64315,0
263813,0
387956,0
212209,0
41935,1
235317,0
394631,0
118940,0
60178,0
266648,1
346257,0
323478,1
204922,0
358924,0
182938,0
79288,0
147734,0
165676,0
350391,0
113513,1
205233,1
148304,0
284272,0
86116,1
147121,0
103629,1
241784,1
19955,0
107324,0
43412,1
157931,0
176986,0
319947,1
172954,0
127449,0
49317,1
257134,0
300041,0
264982,1
284069,0
143598,1
200614,0
370881,0
248330,1
394009,0
92733,1
148560,0
209893,0
302180,0
262732,0
155984,1
43549,0
372276,0
69880,1
114789,0
271447,1
380078,0
75081,0
53243,0
379855,0
242879,0
167317,0
93639,0
219382,0
115096,1
77405,0
27410,0
187173,1
76178,0
257374,0
11604,1
33643,0
79164,0
168423,1
90543,1
146909,0
5625,1
265151,0
236034,1
218299,1
279890,1
280169,0
315920,0
177149,1
143519,1
30581,0
14975,0
52853,1
229846,0
357557,0
81039,1
235703,0
139200,0
275112,0
360214,0
188772,0
205760,1
346095,0
78024,0
41953,0
262600,0
232380,1
158903,1
122193,1
55593,0
252482,0
335305,0
336759,0
5541,1
217524,1
381526,0
156268,1
124555,0
175188,0
402471,0
230726,0
84564,0
353726,1
247047,0
232022,0
143981,0
342375,0
243595,0
31321,1
43418,1
336862,1
111144,0
175406,1
224427,0
96407,0
26873,0
283542,0
396589,0
55341,0
209836,0
169251,0
257932,0
270899,0
21470,1
396476,0
317070,0
146988,0
195088,1
119622,0
19684,1
340380,0
380351,0
39125,0
163014,0
247048,1
326474,0
19965,0
355074,1
188582,0
8363,0
188277,0
194150,0
127099,0
371038,0
198817,0
42523,0
159287,0
119028,0
321161,1
296692,0
98762,0
43131,1
160527,0
380800,0
344661,0
366111,0
356846,0
99479,0
155072,0
254600,1
329143,0
183747,1
152602,0
87640,0
163482,1
325443,1
274598,0
400543,1
316839,0
247089,0
3613,0
386303,1
123532,0
268749,0
41121,1
247201,0
70393,1
79431,0
96624,1
243808,0
207397,1
313842,0
401236,1
72753,0
205010,0
248208,1
55729,1
361547,1
385138,1
241432,0
241140,0
86129,0
175436,1
358771,0
376960,1
202393,0
276611,0
72224,1
139350,1
169399,1
62736,0
50998,0
49539,1
142562,0
357018,1
199581,1
77312,0
397498,0
358461,0
270988,1
67507,0
226141,1
339415,0
66342,0
89020,0
12571,0
363445,0
220298,1
92615,0
269003,0
390601,1
159436,0
188271,0
189081,1
101667,1
100123,0
351014,0
83480,1
242430,1
156750,0
356554,0
340724,1
347889,0
176008,0
83109,0
199488,0
16160,1
116683,0
284785,0
331743,0
242992,0
13209,0
312678,0
20974,0
190712,1
88312,0
210229,0
4963,1
163292,0
17095,0
124717,0
28274,1
255311,1
244792,0
306743,0
113699,1
92361,1
146207,0
122854,0
46585,1
156709,0
362075,0
51597,0
111701,0
85412,0
377304,1
51671,0
12796,1
310502,0
14493,0
102741,1
197417,0
27263,1
43483,0
5365,1
109159,0
280804,1
199070,0
240353,1
243599,0
333703,1
142318,0
366038,0
326949,0
14555,0
341546,0
373240,0
16551,0
257401,0
7719,0
281805,0
257495,1
354567,1
42276,0
132651,0
83929,1
54829,1
302595,1
345124,1
196984,1
2622,0
195689,0
166926,0
77762,0
101369,0
62932,1
386369,0
359685,0
217818,0
23073,0
40298,0
100912,0
177960,0
210215,1
363361,0
265554,0
14988,0
372272,1
161665,1
342968,1
37587,0
318266,0
222669,0
337644,1
315998,0
214280,1
105965,0
268628,0
279883,0
155877,0
246716,0
170254,0
190990,0
166733,0
122688,1
35550,0
147657,0
19807,1
103770,1
285685,0
184018,0
157061,0
338565,1
74038,1
376518,0
294410,1
153629,0
66895,0
126640,1
101838,0
293496,1
72884,0
270814,0
215242,1
227815,0
164877,0
307414,0
139923,0
177583,0
85616,0
130373,1
87312,1
260377,0
110929,1
370793,0
187550,1
339860,0
261315,1
154033,1
394385,0
317711,0
222263,1
22262,1
245280,1
322607,0
345619,0
226060,1
260982,0
243076,1
255392,0
16387,1
148458,0
179458,1
289774,1
263853,0
105478,0
355541,0
171473,0
46975,1
242520,1
338195,0
153451,0
16159,1
322374,0
343665,0
106789,0
247064,0
266328,1
381320,0
104014,0
246087,0
300927,1
348233,1
129270,0
67995,0
161541,1
273969,0
371562,0
108883,0
182212,1
186761,0
156777,1
70602,1
198253,0
244269,0
396241,1
397522,0
90269,1
214554,0
191819,1
218545,1
361201,1
274309,1
236584,1
367275,0
224163,1
22384,1
140173,1
387788,0
358685,1
307132,0
45481,1
307074,0
340690,0
326506,0
245285,0
100525,0
9068,1
312952,1
10291,0
359711,1
12792,1
380972,1
318649,0
351060,0
22164,0
49168,0
161315,0
48915,1
357120,0
130405,0
271336,0
328077,0
265889,0
105915,0
248693,0
290598,0
118418,1
27578,0
143422,0
104759,0
179213,1
84615,0
80285,0
329720,0
209845,1
397989,0
219487,0
162187,0
79631,0
215372,0
242056,0
402472,0
281327,0
25860,0
357223,1
328363,1
283678,0
41956,0
337050,0
78209,0
31965,0
53958,0
238741,0
65759,0
25691,0
255381,0
1588,0
297256,1
310823,1
181543,1
99302,0
169298,0
138110,1
295514,0
66797,1
270307,0
157565,1
214458,0
138672,0
221178,0
355590,0
82736,0
274812,1
162123,0
206256,0
303498,0
250952,0
37887,0
179884,0
91496,0
154311,0
97031,0
161055,1
278664,0
339567,1
205330,1
311887,0
334839,1
37379,1
28291,0
371333,1
131585,1
268366,0
393596,0
227473,0
163549,0
255610,0
94511,0
361647,0
143203,0
369671,0
223592,0
146883,0
201144,0
15580,1
112014,1
318813,1
103711,0
63910,0
280728,0
94180,1
319978,0
137002,0
108293,0
297363,0
144391,0
116329,0
64154,1
393673,1
4059,0
359465,1
129171,0
159893,0
343240,1
161229,1
355752,1
393004,1
250724,0
395474,0
310909,0
46053,0
120042,0
87339,1
26947,0
162323,1
155589,1
84999,1
357819,0
117675,0
342174,0
368259,1
301043,1
54600,0
227987,1
236201,1
329640,0
81426,1
233270,0
325809,1
227252,0
65988,1
169304,0
174269,0
127607,0
383049,1
380755,0
356850,0
110111,0
147203,1
267146,0
5155,0
389469,0
318703,0
254835,1
212614,0
230153,0
164144,0
343059,1
12905,0
395406,0
10225,0
329319,1
8359,1
146430,0
30373,0
223919,0
356610,0
335614,1
200760,0
217303,1
176770,0
129288,0
339377,1
36657,0
285286,0
282789,0
328609,0
132711,0
362526,0
209161,0
238406,1
395025,0
290792,0
70271,1
376061,0
403432,0
186785,0
188630,1
221653,1
365387,0
248539,0
384170,0
214234,1
325918,0
208777,1
218331,1
400743,0
54282,1
372089,0
223687,0
297015,0
134790,0
373382,0
331333,1
207719,1
216175,1
229673,1
75002,0
118938,0
135420,0
326357,0
340868,0
112659,0
229840,1
378366,1
327956,0
201416,1
361453,0
150728,1
342758,0
149506,1
115157,0
110013,0
388738,0
330972,0
334388,0
19619,0
16366,0
395093,0
287479,1
328091,0
252248,1
253176,1
156577,0
133179,0
123444,1
302592,0
169939,0
8910,0
46381,0
118879,0
155871,0
63705,1
333157,0
93386,1
97498,0
13783,0
256337,1
399733,0
35679,0
323602,0
94839,0
279079,0
131318,0
129492,0
181690,0
64850,1
396936,0
268455,1
351068,0
154751,1
150994,0
144565,0
145237,0
239288,0
315065,1
290148,1
298093,0
137103,0
18959,0
27693,0
259057,1
349648,0
242814,0
287619,1
217268,0
119733,0
315671,0
288913,1
351195,0
397866,0
150068,0
261644,0
197802,0
99454,0
73334,1
331395,0
87049,0
120302,1
93849,1
280531,1
52323,0
88120,0
171405,1
349306,1
48008,0
53985,0
285655,0
204209,0
25742,1
384634,0
60232,0
149692,0
34803,1
10142,0
73788,1
356816,1
128472,0
31453,1
169099,1
91769,0
138977,1
57518,0
119411,0
226628,0
221427,1
7902,0
137935,1
65453,0
206444,0
276482,0
30722,1
203143,1
93753,1
403479,0
79687,1
17027,0
38240,1
334794,0
78891,1
348601,0
302750,0
225270,0
325959,1
387966,0
29087,0
259940,1
95122,1
122890,0
349749,1
135660,1
77811,0
344360,1
6224,0
292784,1
136956,1
199829,1
140440,1
12136,0
26174,0
314585,0
340366,0
264210,0
188785,1
316654,0
221648,1
244772,0
169374,1
240090,0
66995,1
292700,1
72030,0
244645,0
136082,1
129209,0
366611,0
192522,0
301192,0
170246,0
123834,0
106750,0
399871,0
77623,0
239600,0
238945,1
23494,0
176337,1
184949,1
115249,0
70338,1
169443,0
310563,0
114118,0
15763,1
368551,1
164012,1
100763,0
154157,0
19764,1
283565,1
208097,0
280120,0
164484,1
104851,0
269421,0
302409,0
249415,1
321147,1
268035,1
125025,1
75474,1
160442,1
124194,1
143867,0
382103,0
359962,0
364969,0
286605,0
195909,1
68219,0
363372,0
31294,0
248669,1
328271,1
209608,1
401460,0
189001,0
318117,0
347620,0
130054,0
344973,0
338695,0
375813,0
10656,1
376971,0
129294,0
366836,0
101276,1
95772,1
208945,1
186975,0
221906,1
267916,0
283654,1
330409,0
301348,0
199513,0
164153,1
11220,0
278599,0
15434,0
123797,0
402072,0
188191,0
370969,1
205342,1
293433,0
111457,1
167102,0
183277,0
100403,0
171972,1
157912,1
202920,0
69438,0
352943,0
243594,0
46011,0
221998,0
319973,0
264144,0
257520,1
204479,1
162196,0
121413,1
201664,1
36805,0
68167,1
182041,1
33805,0
189481,1
254655,0
384540,0
61961,1
12763,1
87025,0
400531,0
216048,0
221869,0
122611,0
224847,0
17071,0
306156,0
64434,1
34424,0
350791,1
340078,0
68169,0
68711,0
165955,0
14808,0
311410,0
348204,0
327474,0
263497,0
291949,0
381553,0
314359,0
306702,1
199050,0
2294,0
172518,0
189704,0
134312,0
344199,0
220747,0
355654,0
332845,1
65712,1
209742,1
88595,0
145944,1
174143,0
204820,0
189995,0
171738,1
193526,0
331243,1
227988,0
136022,0
286815,1
217244,0
288980,0
140721,1
90143,1
16006,0
382083,0
246423,1
108483,1
26939,0
31484,1
87735,0
349856,1
149645,0
357053,1
126408,0
243636,1
335457,0
155245,0
376719,0
388287,0
292615,0
187057,0
168262,1
39131,0
401147,0
87844,0
35281,1
134698,1
166602,0
334374,1
148617,1
398090,0
105804,0
13555,1
58735,1
335766,1
383523,0
397710,1
69846,0
232352,0
34605,0
361063,1
141854,0
403244,1
267307,1
299528,0
257750,0
176714,1
106074,1
230318,0
138704,0
60603,0
356113,1
101910,0
185995,0
273997,0
298583,0
148446,0
38356,0
15123,0
378917,0
46703,0
357953,1
278007,0
26392,1
273266,0
338339,0
262025,0
225856,0
397481,1
201368,1
217225,1
7948,0
270067,0
337999,1
273863,0
50517,1
37785,1
89697,0
372525,0
174942,0
328908,1
254955,0
294784,0
293502,0
37836,0
195332,0
932,0
343612,1
122348,0
397144,0
226347,1
291200,1
183620,1
138936,1
70130,0
378573,1
96605,1
372184,0
223441,0
239097,1
346901,1
1483,0
144616,1
326983,1
267555,1
273189,0
198983,1
166061,0
180779,0
29709,0
145725,1
53054,1
277476,0
263610,0
71477,1
221824,0
108906,1
276373,0
254873,0
37054,1
218095,0
30128,0
276634,0
349518,0
53872,0
118338,0
208903,1
209994,1
76143,0
290297,0
354955,1
262607,1
3279,0
272579,0
306490,0
211732,1
25699,0
62741,1
159299,0
339614,0
252507,0
158179,1
213031,0
217742,0
56723,1
126326,1
6343,0
294139,1
198302,1
311269,0
342318,0
46174,1
256931,0
17796,0
140740,0
191901,0
240863,0
382841,0
44822,0
286983,1
294742,1
106094,1
188292,1
243590,1
295682,0
215736,0
19484,1
281638,1
127389,1
31761,1
378155,0
363357,1
109952,1
282983,0
208555,1
200994,0
321034,0
77658,0
374600,0
12816,1
111087,1
288505,0
84979,1
221001,1
32468,0
52335,1
378403,1
268140,1
290295,0
379180,0
360246,0
66483,0
92166,1
119311,0
218695,0
189122,0
52557,0
71833,0
67637,1
247548,1
336923,1
130288,0
68924,0
106045,0
51863,0
372196,0
159401,0
296005,0
191716,1
167048,0
223009,0
280719,0
200023,0
387667,1
332688,1
57785,0
353985,0
352390,0
138577,1
278995,0
162305,0
234488,1
393143,1
341242,1
60590,0
301878,0
212123,0
291430,0
399307,1
151970,1
82944,0
310292,0
399749,0
