id,prediction
1089874,1
3019446,0
1945605,1
1430402,1
3354381,0
1390995,0
2201401,0
2453843,1
1756630,1
938878,0
2357153,0
2760337,0
3447768,1
173848,1
1756397,1
749900,1
501917,1
356718,1
1083541,1
1090263,1
666617,0
2299642,0
2878218,0
1758014,1
149718,1
3018662,1
2444603,0
356716,1
2535248,0
1811569,1
956105,1
1558644,1
659710,0
1268500,1
197693,1
2226418,0
2191765,0
2455974,0
816693,1
198581,0
69590,1
2226059,0
1012095,1
2320049,1
1908431,0
2594779,0
173717,1
2963161,1
2375809,1
3298856,0
3052031,0
546923,0
1853823,1
3417894,0
3026089,1
1618799,1
842299,0
2795276,0
2452146,0
1596213,0
420631,1
2597390,1
2152575,0
1704383,0
1587838,1
3099593,0
459714,0
2636620,0
172379,0
389027,0
1305621,0
276515,0
1617861,1
3063295,1
1398956,0
1401946,0
98645,0
3113657,0
2930352,0
2467229,0
1081112,0
1782395,0
1246493,1
41193,1
1433616,0
1614192,1
228991,0
459228,0
1392369,0
479412,1
1564390,1
1796642,1
3099578,0
1657996,0
2632867,1
1263127,0
246757,0
1552072,1
1669205,1
315656,1
1831381,0
864267,1
3119490,0
1378004,0
266876,1
1195775,0
1958143,0
1626524,1
1694560,0
1945483,0
2689148,0
633874,1
715991,1
2636303,1
361266,1
2929557,1
878767,1
1479611,0
44397,1
2359452,0
203291,1
2007119,0
2792884,0
629417,0
3364032,1
1676486,0
2313560,0
2375777,0
1363194,0
2815705,1
1691429,1
396175,1
2287353,0
2904808,0
3046537,1
146113,0
2020349,1
2196877,0
3422853,0
1761421,0
2609667,1
1596087,0
274229,1
774520,0
2968215,0
2532424,0
1821373,1
2384731,1
816341,1
855331,0
2425559,0
716894,0
3286477,0
1320606,1
1089463,0
3256383,0
715320,1
833153,1
2836872,0
1408377,0
3073750,1
1611763,0
3265736,1
1819056,1
278163,1
1510296,0
345963,0
820900,1
881153,1
2224082,1
1630597,0
2678860,1
2482005,1
1438073,1
1703392,1
2526928,0
2759792,1
191346,0
1789073,0
2216664,0
3300416,0
1479753,0
1183817,1
1730650,0
1462786,1
1921865,0
2276459,0
1926146,1
1793425,1
2195721,0
969671,0
746177,1
2011656,1
2384647,1
3447348,0
3334681,1
969380,0
1571035,0
607096,0
91457,0
1146450,1
2749203,1
423227,1
2702505,0
2813342,1
1116621,1
1050718,0
2924620,0
2622075,0
209615,0
2133905,1
232432,1
2670301,0
545926,1
399715,1
214786,1
731753,0
1705093,0
451540,0
3314564,0
804259,0
2195121,0
2939979,0
3014165,1
379579,0
481929,1
2787375,0
1980126,0
3299227,1
1669277,0
