id,prediction
112402,1
127416,0
14378,0
154958,1
89959,1
181758,0
179547,1
19094,1
76911,0
191780,0
285799,0
22638,0
273151,0
126637,0
69351,1
200527,0
47738,1
12780,1
358729,0
235971,0
392804,1
320908,1
89220,0
36710,0
350171,0
116923,0
175060,1
231369,0
141863,0
323644,1
89554,0
285836,1
4168,0
120723,1
144151,0
293566,0
294459,0
113430,1
293745,1
18484,0
5678,1
265438,0
341348,1
211798,1
3108,0
228443,0
379447,0
224838,0
91039,1
117825,0
261769,0
93205,0
72275,0
349357,1
272925,0
198738,0
389949,1
260807,1
101312,0
59792,0
376664,0
168236,0
138987,0
266390,0
199674,0
377678,0
128562,0
158709,0
121863,0
100652,1
161113,0
19741,0
36055,1
46280,0
398813,1
248498,0
133329,0
356317,1
146515,0
305508,1
107067,0
219282,0
286895,0
324734,1
4671,0
130245,0
285137,0
47582,0
243053,0
53268,1
107750,0
349213,0
297556,0
191746,1
378932,0
312215,0
121945,0
51444,1
309368,0
126894,0
365499,0
257349,0
6980,0
68175,0
378938,0
175118,1
217324,0
262126,1
400294,0
71605,0
334465,0
28606,0
268356,0
6695,1
317110,1
269163,0
303981,0
126146,0
78276,0
78592,0
234539,0
22462,1
26767,0
167437,1
377539,1
2576,0
331202,0
21898,0
35828,0
219532,1
321145,0
370257,0
90191,1
94524,1
162555,0
23346,0
261942,1
344512,0
89315,0
203425,0
353040,1
55799,0
315981,1
50225,1
382062,1
154811,0
344909,0
347122,1
186688,0
306015,0
140286,0
347011,0
268688,0
288490,0
270798,0
129277,1
259526,0
224327,1
238438,0
136944,0
112843,0
187669,0
169233,0
271813,0
115454,0
283975,1
395220,0
103511,0
234202,0
144409,0
280407,1
231109,1
239949,1
282258,1
248896,0
10981,1
209573,0
265757,0
360016,0
392741,0
177827,1
267603,1
33746,0
66066,0
156792,0
89272,0
391799,1
304979,0
295872,0
25984,1
270138,1
145149,1
228126,0
230847,1
120877,0
33501,0
366633,0
298179,0
246001,0
86787,0
1526,0
14352,1
45837,1
58627,0
48797,0
229650,0
167525,0
70286,1
270148,0
90849,0
318628,0
324978,1
365452,0
17397,1
277316,0
381948,0
179224,1
366707,0
5262,1
375753,0
391500,0
193891,1
160656,0
253174,0
78071,0
358871,0
327820,0
113620,1
114314,0
203924,0
190936,0
351083,0
131638,0
397153,0
283803,0
141153,1
241687,1
35422,0
83318,0
321090,0
37353,0
48845,1
293564,1
204850,0
164387,0
11468,1
112644,0
43699,0
362880,0
169768,0
343162,1
170498,0
359614,0
318437,0
331828,0
66214,1
89341,1
198576,0
106200,1
224073,0
146530,0
6299,1
322223,0
322642,0
373659,0
252567,1
300647,1
262912,1
140057,0
84473,1
198166,1
401559,1
311544,0
150320,0
305996,1
220261,0
354823,1
263663,0
218057,0
199428,0
290298,0
378943,1
295470,0
370608,0
298905,1
149637,0
121553,0
8380,1
104874,0
114159,0
231173,1
386310,0
340734,0
338522,1
361133,0
194396,0
122593,0
270235,0
103581,0
178352,0
323302,1
121334,0
143985,1
53158,1
310458,0
281180,0
357161,0
382347,0
13220,0
193830,0
280224,0
81137,1
276940,0
116740,0
398927,1
20051,1
324987,0
379715,0
209142,0
288673,0
302579,1
269897,0
126176,0
255543,1
7199,0
86479,1
222755,0
277074,0
12351,0
394221,0
391038,0
173864,0
187047,1
41167,1
81604,0
101385,0
42263,0
217426,0
50451,1
206924,0
263737,0
341000,0
266368,0
353686,1
218827,1
300931,1
393096,0
388308,0
92772,1
284461,0
151383,0
186046,1
36398,1
282777,1
314315,0
335687,0
234549,0
306144,1
163979,1
26203,0
80976,0
138689,0
377351,0
79817,0
237424,1
129255,0
307576,0
402275,0
398573,1
334604,0
211687,1
173980,0
47414,1
371665,1
304407,0
320874,0
39346,0
100694,0
174646,1
242916,0
68344,0
359520,0
293306,0
52699,0
316687,1
258340,0
340644,0
374271,0
256766,1
41479,0
287761,0
164400,0
307972,0
180186,1
209443,0
313487,0
309769,1
313711,1
285513,1
303753,0
179392,1
154945,0
354400,0
124385,0
310950,0
374697,0
139208,1
368630,1
189629,0
300080,0
44875,0
261943,1
169240,0
118594,0
131451,1
377891,0
332975,1
53027,0
254735,1
154058,1
146311,0
24302,0
88819,1
127994,0
67359,1
242585,0
287359,0
215294,1
104282,0
176689,0
108863,0
365366,0
47623,1
330659,1
147325,0
20613,0
34521,0
258097,1
363659,0
161355,0
202278,0
34468,1
332222,1
154756,0
281069,0
195524,0
194714,0
